420,264
433,256
455,247
471,245
487,245
506,245
528,245
556,242
593,237
635,229
677,222
721,217
764,215
800,212
837,211
871,208
901,206
926,206
947,206
968,206
992,206
1015,206
1036,201
1054,194
1069,188
1082,181
1095,178
1106,175
1115,173
1124,169
1134,165
1143,159
1151,153
1158,148
1163,142
1165,138
1165,134
1165,131
1165,128
1165,125
1164,121
1159,117
1152,112
1142,105
1123,96
1099,86
1068,76
1034,67
1000,58
968,50
934,41
895,35
851,34
793,34
736,34
676,36
623,49
578,65
541,86
509,111
483,140
466,176
454,224
450,274
447,318
446,357
445,395
445,432
445,470
447,515
475,557
509,598
553,635
606,661
662,678
728,689
799,692
874,692
946,674
1010,630
1059,567
1087,498
1096,430
1096,371
1068,316
1018,268
955,231
885,202
811,182
742,175
675,175
619,179
577,198
548,216
533,232
528,247
528,260
528,271
529,278
540,284
555,291
575,297
598,304
627,315
672,329
723,345
780,358
831,361
871,361
896,344
911,320
914,298
914,280
914,262
885,247
841,234
784,229
721,227
658,226
594,223
542,219
496,216
459,216
425,216
396,228
372,255
353,290
346,332
346,380
351,432
383,482
421,520
461,544
507,558
557,564
602,565
652,565
703,565
749,565
793,565
837,550
875,520
906,484
932,439
951,394
959,359
959,329
959,300
935,264
887,227
837,201
784,184
733,177
690,176
650,176
619,187
597,212
579,249
571,293
568,345
568,391
568,426
568,451
568,467
568,469
567,469
567,466
567,465
567,464
566,466
563,470
559,477
558,483
558,488
558,490
561,490
577,490
618,475
669,441
728,404
782,361
835,319
890,279
939,244
983,216
1020,196
1051,182
1073,174
1082,170
1085,167
1086,166
1086,165
1086,165
1082,167
1055,181
1004,206
947,241
887,282
816,329
738,383
653,438
567,493
491,541
426,576
382,597
359,606
349,608
348,608
351,606
391,577
461,527
532,459
605,388
669,321
726,264
775,213
815,173
845,143
866,124
875,115
875,114
875,115
858,137
824,179
788,226
750,279
703,334
647,396
577,463
498,535
426,595
382,631
363,645
362,645
362,643
409,573
467,498
512,432
555,373
598,313
638,256
667,208
687,177
694,161
694,155
686,155
686,157
658,173
595,207
536,234
479,247
431,247
374,239
308,198
234,145
171,95
125,51
98,12
85,0
80,0
79,0
79,0
79,0
79,0
83,0
108,18
166,64
244,129
326,205
413,294
504,396
596,506
688,626
775,731
852,767
913,767
955,767
977,767
980,767
979,765
936,732
862,662
772,572
675,469
596,366
529,282
469,213
410,157
352,114
301,90
268,80
253,75
250,73
250,72
250,71
253,71
258,71
274,73
311,95
388,146
488,227
597,323
687,410
757,468
808,505
840,521
856,524
858,524
852,523
823,506
754,454
678,386
601,307
533,224
464,142
402,65
348,7
300,0
270,0
256,0
256,5
343,72
448,154
549,244
641,335
713,421
772,493
818,544
849,572
863,582
863,579
857,563
820,528
764,485
697,430
628,373
569,317
515,252
463,184
420,121
388,77
362,48
346,35
342,35
342,37
342,44
342,44
342,44
342,45
342,45
342,46
342,46
342,46
341,46
339,47
338,47
337,47
336,47
335,47
335,47
334,47
334,47
334,47
333,47
331,47
329,46
326,44
322,43
318,41
313,39
308,37
302,36
295,35
284,34
275,34
266,34
260,34
256,34
250,38
243,50
228,69
209,96
189,123
168,148
149,169
138,184
128,202
118,225
104,257
86,293
68,330
54,357
45,372
42,376
42,375
43,375
43,387
46,413
49,439
51,466
53,491
53,513
53,529
55,543
58,557
65,574
72,601
79,636
88,670
97,700
108,724
121,741
138,755
159,767
183,767
203,767
218,767
247,767
266,767
322,767
381,767
436,756
485,737
528,719
574,699
626,679
680,662
735,648
786,640
820,637
837,636
841,636
842,637
853,642
881,653
930,667
987,678
1037,689
1081,698
1114,703
1143,705
1170,706
1194,706
1213,708
1227,711
1237,712
1245,713
1256,714
1278,714
1311,713
1335,697
1354,676
1365,647
1365,614
1365,583
1365,553
1365,530
1365,512
1365,494
1362,476
1354,457
1349,436
1351,428
1351,419
1351,385
1343,332
1324,268
1306,204
1292,148
1282,104
1272,66
1266,44
1262,39
1260,39
1242,39
1199,36
1145,29
1091,14
1032,0
971,0
903,0
835,0
775,0
731,0
708,0
704,0
704,0
704,0
687,0
624,0
551,1
482,7
418,7
365,7
321,0
278,0
239,0
209,0
198,25
